root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
18:06:16.539132 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 3284923085:3284923193, ack 2995908561, win 501, length 108
18:06:16.547855 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 4896:5028, ack 1, win 501, length 132
18:06:16.547959 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 5028:5064, ack 1, win 501, length 36
18:06:16.548068 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 5064:5212, ack 1, win 501, length 148
18:06:16.548204 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 5212:5248, ack 1, win 501, length 36
18:06:16.548318 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 5248:5396, ack 1, win 501, length 148
18:06:16.548392 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 5396:5432, ack 1, win 501, length 36
18:06:16.548504 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 5432:5580, ack 1, win 501, length 148
18:06:16.548584 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 5580:5616, ack 1, win 501, length 36
18:06:16.548671 IP 67.71.177.9.56818 > 159.89.114.168.22: Flags [.], ack 3756, win 8393, length 0
18:06:16.548942 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 5800:5948, ack 1, win 501, length 148
18:06:16.549128 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 5984:6132, ack 1, win 501, length 148
18:06:16.549322 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 6168:6316, ack 1, win 501, length 148
18:06:16.549499 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 6352:6500, ack 1, win 501, length 148
18:06:16.549655 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 6536:6684, ack 1, win 501, length 148
18:06:16.549819 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 6720:6852, ack 1, win 501, length 132
18:06:16.549994 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 6888:7036, ack 1, win 501, length 148
18:06:16.550177 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 7072:7220, ack 1, win 501, length 148
18:06:16.550421 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 7220:7712, ack 1, win 501, length 492
18:06:16.550593 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 7712:8092, ack 1, win 501, length 380
18:06:16.550751 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 8092:8240, ack 1, win 501, length 148
18:06:16.550932 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 8240:8388, ack 1, win 501, length 148
18:06:16.551051 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 8388:8536, ack 1, win 501, length 148
18:06:16.551206 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 8536:8684, ack 1, win 501, length 148
18:06:16.551318 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 8684:8832, ack 1, win 501, length 148
18:06:16.551421 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 8832:8980, ack 1, win 501, length 148
18:06:16.551512 IP 67.71.177.9.56818 > 159.89.114.168.22: Flags [.], ack 6168, win 8394, length 0
18:06:16.551622 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 8980:9232, ack 1, win 501, length 252
18:06:16.551753 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 9232:9380, ack 1, win 501, length 148
18:06:16.551978 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 9380:9528, ack 1, win 501, length 148
18:06:16.552109 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 9528:9676, ack 1, win 501, length 148
18:06:16.552274 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 9676:9824, ack 1, win 501, length 148
18:06:16.552408 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 9824:9972, ack 1, win 501, length 148
18:06:16.552528 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 9972:10120, ack 1, win 501, length 148
18:06:16.552646 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 10120:10268, ack 1, win 501, length 148
18:06:16.552753 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 10268:10424, ack 1, win 501, length 156
18:06:16.552860 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 10424:10580, ack 1, win 501, length 156
18:06:16.552969 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 10580:10736, ack 1, win 501, length 156
18:06:16.553069 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 10736:10892, ack 1, win 501, length 156
18:06:16.553130 IP 67.71.177.9.56818 > 159.89.114.168.22: Flags [.], ack 8240, win 8394, length 0
18:06:16.553262 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 10892:11144, ack 1, win 501, length 252
18:06:16.553372 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 11144:11300, ack 1, win 501, length 156
18:06:16.553484 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 11300:11456, ack 1, win 501, length 156
18:06:16.553605 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 11456:11612, ack 1, win 501, length 156
18:06:16.553718 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 11612:11768, ack 1, win 501, length 156
18:06:16.553834 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 11768:11924, ack 1, win 501, length 156
18:06:16.553957 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 11924:12080, ack 1, win 501, length 156
18:06:16.554076 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 12080:12236, ack 1, win 501, length 156
18:06:16.554202 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 12236:12392, ack 1, win 501, length 156
18:06:16.554318 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 12392:12548, ack 1, win 501, length 156
18:06:16.554441 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 12548:12704, ack 1, win 501, length 156
18:06:16.554562 IP 159.89.114.168.22 > 67.71.177.9.56818: Flags [P.], seq 12704:12860, ack 1, win 501, length 156
18:06:16.554643 IP 67.71.177.9.56818 > 159.89.114.168.22: Flags [.], ack 9972, win 8394, length 0
18:06:16.554788 IP 159.89.114.168.22 > 67.71.177.9.56818: Flag
